Wall time,Step,Value
1634699249.8515143,10001,-237.07896423339844
1634699295.6843278,20001,-183.65768432617188
1634699346.5280998,30001,-164.3384552001953
1634699398.9421637,40001,-148.5795440673828
1634699453.1738834,50001,-137.9497528076172
1634699510.7050722,60001,-131.95115661621094
1634699565.0621572,70001,-119.89603424072266
1634699619.4183228,80001,-108.96857452392578
1634699674.8300328,90001,-97.81243896484375
1634699727.303169,100001,-89.73900604248047
1634699783.3711774,110001,-88.69446563720703
1634699835.6013124,120001,-73.82022094726562
1634699891.0765514,130001,-60.18068313598633
1634699943.1305034,140001,-31.646223068237305
1634699996.8927047,150001,-11.902643203735352
1634700051.6326668,160001,5.497561454772949
1634700104.3466225,170001,23.92896842956543
1634700156.6305492,180001,40.88991165161133
1634700208.9156265,190001,53.586456298828125
1634700260.4092038,200001,59.022586822509766
1634700311.2474666,210001,57.63255310058594
1634700359.8288667,220001,67.21098327636719
1634700409.2129924,230001,41.037254333496094
1634700457.5829685,240001,38.27186584472656
1634700507.2987657,250001,62.28582763671875
1634700556.260216,260001,79.28559112548828
1634700605.8859413,270001,74.69204711914062
1634700656.722368,280001,85.25928497314453
1634700709.9325395,290001,93.3686752319336
1634700761.1500163,300001,75.79744720458984
1634700810.8974247,310001,57.81428146362305
1634700858.5755057,320001,98.60164642333984
1634700905.3895383,330001,107.4293212890625
1634700952.9509454,340001,128.75543212890625
1634701000.417024,350001,144.26417541503906
1634701048.7593904,360001,130.8468780517578
1634701096.667447,370001,137.08975219726562
1634701144.673918,380001,126.2745132446289
1634701192.0142026,390001,125.00730895996094
1634701239.5080636,400001,123.33036804199219
1634701287.3780508,410001,121.1951675415039
1634701334.4864166,420001,135.1556396484375
1634701381.5703037,430001,130.5387420654297
1634701429.5176353,440001,132.40740966796875
1634701475.6996992,450001,126.4522476196289
1634701517.3584926,460001,114.5745849609375
1634701557.4920478,470001,112.01058197021484
1634701596.7267537,480001,126.45510864257812
1634701634.6126728,490001,90.43748474121094
