Wall time,Step,Value
1634699260.7606778,10001,-231.08547973632812
1634699306.3648062,20001,-185.9708251953125
1634699360.6204433,30001,-174.97154235839844
1634699416.7786877,40001,-157.2976531982422
1634699474.199884,50001,-139.65289306640625
1634699529.506143,60001,-133.86073303222656
1634699587.2911575,70001,-127.74317169189453
1634699644.2293158,80001,-104.77144622802734
1634699699.4134889,90001,-85.52824401855469
1634699755.1247277,100001,-75.99663543701172
1634699812.0914228,110001,-65.73992919921875
1634699868.1961799,120001,-51.34122085571289
1634699923.084719,130001,-31.394878387451172
1634699979.6995988,140001,-17.09717559814453
1634700035.2465174,150001,-6.159997940063477
1634700091.9951673,160001,5.077514171600342
1634700146.6877542,170001,19.333208084106445
1634700202.7027209,180001,32.44125747680664
1634700256.6455026,190001,47.989498138427734
1634700312.0485897,200001,46.01343536376953
1634700367.2716644,210001,48.19279098510742
1634700420.0085745,220001,62.76769256591797
1634700474.7348266,230001,63.39158630371094
1634700528.3521492,240001,69.21434020996094
1634700584.8557818,250001,74.52214050292969
1634700637.4903047,260001,66.4864730834961
1634700689.9527183,270001,63.87495040893555
1634700744.1960158,280001,77.0462646484375
1634700795.1829236,290001,72.69139862060547
1634700847.579441,300001,53.73465347290039
1634700895.9375284,310001,75.70256042480469
1634700944.2857807,320001,89.13873291015625
1634700993.0112607,330001,105.1851806640625
1634701044.8697348,340001,130.4280242919922
1634701093.9757874,350001,150.22042846679688
1634701142.451448,360001,143.95562744140625
1634701190.8875546,370001,139.6952667236328
1634701239.359151,380001,133.4100799560547
1634701290.5330672,390001,136.01942443847656
1634701339.4430504,400001,122.1933364868164
1634701387.2049236,410001,58.91645812988281
1634701434.793727,420001,28.05965805053711
1634701479.6224384,430001,40.1307487487793
1634701521.8262706,440001,3.868164300918579
1634701561.7795975,450001,30.08545684814453
1634701600.923549,460001,75.99015045166016
1634701638.7165515,470001,95.2458724975586
1634701676.026149,480001,110.67999267578125
1634701714.2573626,490001,106.38546752929688
