Wall time,Step,Value
1634699132.7130125,10001,-250.67210388183594
1634699171.8461177,20001,-208.0844268798828
1634699217.382091,30001,-183.6824951171875
1634699271.3404453,40001,-165.45387268066406
1634699324.79668,50001,-149.53880310058594
1634699375.9191492,60001,-139.29246520996094
1634699428.1325138,70001,-114.11466217041016
1634699478.1697922,80001,-96.94174194335938
1634699530.3347642,90001,-87.2835922241211
1634699579.084578,100001,-71.2832260131836
1634699628.7325227,110001,-44.2248420715332
1634699677.6179674,120001,-11.902466773986816
1634699727.9195683,130001,23.305400848388672
1634699781.1141896,140001,43.890167236328125
1634699831.2493877,150001,58.25871658325195
1634699881.139194,160001,89.2056655883789
1634699929.0773065,170001,105.43858337402344
1634699977.8112235,180001,111.30355834960938
1634700025.6719317,190001,123.06189727783203
1634700072.289182,200001,129.35287475585938
1634700119.909863,210001,113.20520782470703
1634700168.0230825,220001,114.20767974853516
1634700217.555755,230001,118.55120086669922
1634700265.7432625,240001,120.48483276367188
1634700314.4191806,250001,119.24413299560547
1634700363.3233948,260001,112.23921203613281
1634700410.752886,270001,87.90923309326172
1634700457.270814,280001,90.2357406616211
1634700503.2587113,290001,62.26552963256836
1634700549.8641415,300001,43.435508728027344
1634700594.6008177,310001,21.47442054748535
1634700638.8446636,320001,19.410865783691406
1634700683.947517,330001,32.4627685546875
1634700727.3737137,340001,25.981765747070312
1634700771.8192255,350001,12.737553596496582
1634700816.0617712,360001,24.67253303527832
1634700861.191219,370001,45.61885452270508
1634700906.5330815,380001,62.781898498535156
1634700953.1203072,390001,68.49232482910156
1634700999.119459,400001,49.57295227050781
1634701044.113101,410001,77.38023376464844
1634701089.7209177,420001,73.15959930419922
1634701135.3467157,430001,58.74187088012695
1634701181.098264,440001,44.2998046875
1634701226.962698,450001,37.51594924926758
1634701272.3349595,460001,76.95763397216797
1634701317.5564191,470001,102.47408294677734
1634701363.5905187,480001,89.2580795288086
1634701411.2609358,490001,97.83998107910156
