Wall time,Step,Value
1634699165.7929358,10001,-245.0226287841797
1634699204.3926876,20001,-197.5694122314453
1634699258.4533625,30001,-180.91143798828125
1634699313.2243412,40001,-174.1087646484375
1634699363.616719,50001,-157.63027954101562
1634699416.0399394,60001,-133.60400390625
1634699469.148822,70001,-104.99137878417969
1634699518.8331254,80001,-85.01084899902344
1634699571.5368829,90001,-75.4288558959961
1634699623.5962346,100001,-55.40681076049805
1634699675.121991,110001,-31.056339263916016
1634699728.262163,120001,-19.252918243408203
1634699779.3945467,130001,-14.099465370178223
1634699831.571227,140001,-17.22248077392578
1634699885.1943371,150001,-10.856178283691406
1634699938.1468732,160001,-1.3792486190795898
1634699990.767593,170001,-1.1300852298736572
1634700044.5853693,180001,-4.600863456726074
1634700098.6450982,190001,6.666728496551514
1634700150.6762388,200001,14.671998977661133
1634700202.3291993,210001,33.31673812866211
1634700251.2023084,220001,59.69907760620117
1634700301.855296,230001,74.78633117675781
1634700351.0218093,240001,89.88346099853516
1634700399.4528427,250001,100.51295471191406
1634700448.1725872,260001,101.05520629882812
1634700497.3564527,270001,99.19055938720703
1634700543.4226773,280001,90.2551040649414
1634700591.6685038,290001,52.6726188659668
1634700637.9396248,300001,-64.72728729248047
1634700684.537719,310001,-123.18098449707031
1634700730.8191535,320001,-150.32510375976562
1634700776.8813334,330001,-246.47195434570312
1634700822.6651504,340001,-340.4881896972656
1634700867.401027,350001,-366.2790222167969
1634700912.147261,360001,-359.11846923828125
1634700957.39855,370001,-380.6035461425781
1634701002.1165123,380001,-385.54998779296875
1634701046.8608918,390001,-404.0702819824219
1634701092.150113,400001,-424.3482971191406
1634701136.5123985,410001,-492.0979309082031
1634701180.8776538,420001,-509.6406555175781
1634701225.595856,430001,-548.8336181640625
1634701269.8521457,440001,-621.266357421875
1634701315.4486942,450001,-616.4536743164062
1634701360.2994113,460001,-648.4876098632812
1634701405.1178558,470001,-627.2152709960938
1634701449.6209276,480001,-637.1202392578125
1634701490.2195287,490001,-620.8619995117188
