Wall time,Step,Value
1634711427.7509773,10001,-272.71282958984375
1634711462.9531624,20001,-232.47808837890625
1634711498.1124666,30001,-180.72425842285156
1634711537.3818843,40001,-132.6396484375
1634711577.915206,50001,-109.55936431884766
1634711620.1565163,60001,-92.11835479736328
1634711664.7115169,70001,-76.22496032714844
1634711707.236945,80001,-61.604618072509766
1634711749.6055777,90001,-60.402889251708984
1634711791.730835,100001,-45.119197845458984
1634711835.432973,110001,-26.605484008789062
1634711877.1209664,120001,-3.081974744796753
1634711919.64182,130001,11.125401496887207
1634711961.9515367,140001,26.417070388793945
1634712002.88925,150001,51.263771057128906
1634712043.2425141,160001,73.86982727050781
1634712082.5333593,170001,78.68195343017578
1634712124.04788,180001,72.34969329833984
1634712164.2435472,190001,79.04078674316406
1634712208.0916612,200001,77.62881469726562
1634712250.966318,210001,77.71598052978516
1634712291.2767081,220001,92.70215606689453
1634712331.4390857,230001,91.208984375
1634712370.2121067,240001,100.46598052978516
1634712409.6467512,250001,94.52384185791016
1634712448.4315984,260001,106.36836242675781
1634712486.4267037,270001,124.14251708984375
1634712525.342305,280001,118.8535385131836
1634712562.852666,290001,128.7086181640625
1634712601.7775884,300001,119.09550476074219
1634712639.402729,310001,131.7029266357422
1634712676.1151874,320001,131.70384216308594
1634712714.2451563,330001,139.393310546875
1634712751.091656,340001,121.890625
1634712788.7778447,350001,26.805156707763672
1634712826.2475836,360001,28.714893341064453
1634712864.0219393,370001,42.03956985473633
1634712902.3697073,380001,40.079410552978516
1634712940.473721,390001,2.0424599647521973
1634712978.243253,400001,11.916739463806152
1634713015.2760303,410001,21.754093170166016
1634713053.3040023,420001,-26.320707321166992
1634713090.8496473,430001,-29.590648651123047
1634713128.5694904,440001,-59.08686447143555
1634713166.5900166,450001,-19.653844833374023
1634713205.0770626,460001,-32.672935485839844
1634713243.3768854,470001,-12.6653413772583
1634713281.9778419,480001,37.32732391357422
1634713323.1719906,490001,-9.29182243347168
