Wall time,Step,Value
1634708209.5225441,10001,-256.7249755859375
1634708245.8821332,20001,-214.19923400878906
1634708287.6538846,30001,-189.4615478515625
1634708332.4747448,40001,-186.29281616210938
1634708380.8913903,50001,-167.4856719970703
1634708425.1685967,60001,-146.6623077392578
1634708469.9508975,70001,-127.63219451904297
1634708512.950937,80001,-83.42578887939453
1634708556.5607617,90001,-44.81708526611328
1634708598.7844217,100001,-22.856233596801758
1634708640.2883046,110001,7.046828269958496
1634708683.4080946,120001,35.8897590637207
1634708724.5943446,130001,60.196170806884766
1634708769.4854274,140001,56.03049087524414
1634708814.2679677,150001,72.0235824584961
1634708860.8320904,160001,79.8638687133789
1634708909.1562214,170001,76.33926391601562
1634708952.2868288,180001,76.57232666015625
1634708997.2856188,190001,62.37646484375
1634709046.2635593,200001,58.91065979003906
1634709091.1338995,210001,48.935184478759766
1634709135.8842142,220001,30.27457046508789
1634709179.757403,230001,14.80029296875
1634709222.9344187,240001,44.649131774902344
1634709268.5285892,250001,39.63515853881836
1634709311.7458777,260001,47.898826599121094
1634709353.1595528,270001,66.19538116455078
1634709396.2841322,280001,55.38006591796875
1634709436.1225488,290001,48.75581741333008
1634709476.0804574,300001,50.31473159790039
1634709518.8285184,310001,45.53998947143555
1634709558.864346,320001,43.28850555419922
1634709600.0036716,330001,70.40260314941406
1634709642.2402916,340001,58.73277282714844
1634709682.774386,350001,71.65084075927734
1634709723.0462995,360001,82.84468078613281
1634709765.0863113,370001,89.44480895996094
1634709809.6826015,380001,87.48350524902344
1634709853.791611,390001,98.84525299072266
1634709896.1432054,400001,93.06053161621094
1634709937.5790334,410001,114.15550994873047
1634709978.5631156,420001,111.0180892944336
1634710019.8316772,430001,122.22267150878906
1634710060.6981618,440001,141.44566345214844
1634710101.7814925,450001,139.73753356933594
1634710142.3567095,460001,134.8243865966797
1634710183.8065805,470001,110.41868591308594
1634710224.4173255,480001,93.71039581298828
1634710264.6170816,490001,62.584739685058594
